"ZE","ENDEREÇO","BAIRRO","CIDADE","TELEFONES","E-MAIL","JUIZ","MAPA"
"4","RUA JARDIM BOTÂNICO, 1060","JARDIM BOTÂNICO","RIO DE JANEIRO","(21) 2249-1862(21) 2274-5048","zon004@tre-rj.jus.br","ANNA ELIZA DUARTE DIAB JORGE","Visualizar"
"5","RUA MIGUEL LEMOS, 97","COPACABANA","RIO DE JANEIRO","(21) 2523-7252","zon005@tre-rj.jus.br","CLAUDIA CARDOSO DE MENEZES","Visualizar"
"7","RUA ANTONIO BASILIO, 76","TIJUCA","RIO DE JANEIRO","(21) 2570-8141(21) 2258-0826","zon007@tre-rj.jus.br","ALFREDO JOSÉ MARINHO NETO","Visualizar"
"8","AVENIDA DOM HÉLDER CÂMARA, 4175","DEL CASTILHO","RIO DE JANEIRO","(21) 2501-6043(21) 2241-4948","zon008@tre-rj.jus.br","LUIZ CLAUDIO SILVA JARDIM MARINHO","Visualizar"
"9","AV AYRTON SENNA 2001 BLOCO C","BARRA DA TIJUCA","RIO DE JANEIRO","(21) 3325-8521(21) 2437-6019","zon009@tre-rj.jus.br","ROSE MARIE PIMENTEL MARTINS","Visualizar"
"10","RUA ASSIS CARNEIRO, 436","PIEDADE","RIO DE JANEIRO","(21) 2595-7854","zon010@tre-rj.jus.br","CRISTIANE DE SÁ BERBAT","Visualizar"
"14","RUA GETÚLIO, 127","TODOS OS SANTOS","RIO DE JANEIRO","(21) 2596-2999(21) 2596-4059","zon014@tre-rj.jus.br","CLAUDIO FERREIRA RODRIGUES","Visualizar"
"16","RUA CONDE DE BAEPENDI, N 40","LARANJEIRAS","RIO DE JANEIRO","(21) 2265-5197","zon016@tre-rj.jus.br","MARCEL LAGUNA DUQUE ESTRADA","Visualizar"
"17","RUA JARDIM BOTÂNICO 1060","JARDIM BOTÂNICO","RIO DE JANEIRO","(21) 2274-4996(21) 2274-4996","zon017@tre-rj.jus.br","ANDREA DE ALMEIDA QUINTELA DA SILVA","Visualizar"
"21","RUA FILOMENA NUNES, 971","OLARIA","RIO DE JANEIRO","(21) 2590-2090","zon021@tre-rj.jus.br","MÁRCIA MACIEL QUARESMA","Visualizar"
"22","RUA ITAPERA, 500, LOJAS 150 E 151 (VIA BRASIL SHOPPING)","IRAJÁ","RIO DE JANEIRO","(21) 3391-5527(21) 2474-3647","zon022@tre-rj.jus.br","ALEXANDRE ABRAHÃO DIAS TEIXEIRA","Visualizar"
"23","RUA JOÃO VICENTE, 1545","MARECHAL HERMES","RIO DE JANEIRO","(21) 3390-8685(21) 3390-8685","zon023@tre-rj.jus.br","MÁRCIA SANTOS CAPANEMA DE SOUZA","Visualizar"
"24","AVENIDA MARECHAL FONTENELLE, 4650","MAGALHÃES BASTOS","RIO DE JANEIRO","(21) 3337-0705","zon024@tre-rj.jus.br","DANIELLA ALVAREZ PRADO","Visualizar"
"25","PRAÇA DA SUPERINTENDÊNCIA 420","SANTA CRUZ","RIO DE JANEIRO","(21) 3395-0295(21) 3395-0295","zon025@tre-rj.jus.br","ANDRE FELIPE ALVES DA COSTA TREDINNICK","Visualizar"
"118","AV. DOM HELDER CAMARA, 10.121","CASCADURA","RIO DE JANEIRO","(21) 2596-3110(21) 2596-5636","zon118@tre-rj.jus.br","MARIA DA PENHA NOBRE MAURO","Visualizar"
"119","AV. AYRTON SENNA 2001 BLOCO C","BARRA DA TIJUCA","RIO DE JANEIRO","(21) 3325-0710(21) 3325-0710","zon119@tre-rj.jus.br","MARIA PAULA GOUVEA GALHARDO","Visualizar"
"120","ESTRADA DO MENDANHA, 555 - 3 PISO (WEST SHOPPING)","CAMPO GRANDE","RIO DE JANEIRO","(21) 2418-6222","zon120@tre-rj.jus.br","JUAREZ COSTA DE ANDRADE","Visualizar"
"122","ESTRADA DO MENDANHA, 555 - 3 PISO (WEST SHOPPING)","CAMPO GRANDE","RIO DE JANEIRO","(21) 3356-2970","zon122@tre-rj.jus.br","MARCELO ALMEIDA DE MORAES MARINHO","Visualizar"
"123","RUA FERNÃO DIAS, S/N","DEODORO","RIO DE JANEIRO","(21) 2455-2359(21) 2455-5099","zon123@tre-rj.jus.br","CLÁUDIA RENATA ALBERICO OAZEN","Visualizar"
